image,title
https://cdnapi.sooplai.com/media/products/179895/CLOT-TAKO-042A-1.jpg,Takoyakids Remi Harem Jumpsuit Misty Gray M71 5-6y
https://cdnapi.sooplai.com/media/products/191887/CLOT-TAKO-093A-DROSE-1.jpg,Takoyakids Nikka Sets Dusty Rose 1-2 Year
https://cdnapi.sooplai.com/media/products/189210/CLOT-TAKO-086A-BLUSH-1.jpg,Takoyakids X Margenie Hanee Bow Sets Blush 5-6 Year
https://cdnapi.sooplai.com/media/products/191323/CLOT-TAKO-091A-SBLUE-1.jpg,Takoyakids Kimi Long Tees Steel Blue 1-2 Year
https://cdnapi.sooplai.com/media/products/193526/CLOT-TAKO-082A-MUST-1.jpg,Takoyakids Essentials Jun Short Sleeves Sets Mustard 3 Month (0-3 Month)
https://cdnapi.sooplai.com/media/products/193523/CLOT-TAKO-082A-MARO-1.jpg,Takoyakids Essentials Jun Short Sleeves Sets Maroon 12 Month (6-12 Month)
https://cdnapi.sooplai.com/media/products/189175/DRES-TAKO-018A-BRED-1.jpg,Takoyakids X Margenie Yoona Puff Sleeves Dress Blush Red 4-5 Year
https://cdnapi.sooplai.com/media/products/191863/CLOT-TAKO-093A-OLIVE-1.jpg,Takoyakids Nikka Sets Olive 1-2 Year
https://cdnapi.sooplai.com/media/products/186559/CLOT-TAKO-068A-CARA-1.jpg,Takoyakids Eri Sets Caramel 5-6 Year
https://cdnapi.sooplai.com/media/products/186185/CLOT-TAKO-073A-MGRAY-1.jpg,Takoyakids Mirei Jumpsuit Misty Gray 5-6 Year
https://cdnapi.sooplai.com/media/products/191745/DRES-TAKO-018A-LILAC-1.jpg,Takoyakids X Margenie Yoona Puff Sleeves Dress Lilac 5-6 Year
https://cdnapi.sooplai.com/media/products/183698/CLOT-TAKO-067A-SBLUE-1.jpg,Takoyakids Akira Jumpsuit Steel Blue 1-2 Years
https://cdnapi.sooplai.com/media/products/187451/CLOT-TAKO-078A-OLIVE-1.jpg,Takoyakids Essentials Miki Short Sleeves Bodysuits Olive 24 Month (18-24 Month)
https://cdnapi.sooplai.com/media/products/187208/DRES-TAKO-016A-MARO-1.jpg,Takoyakids Maia Collared Dress Maroon 2-3 Year
https://cdnapi.sooplai.com/media/products/189206/DRES-TAKO-019A-BRED-1.jpg,Takoyakids X Margenie Aera  Puff Sleeves Dress Blush Red 1-2 Year
